POI_INDEX,TOTAL_REVIEWS,RANKING,POI_TYPE,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
1,12398,3,"Sights & Landmarks, Nature & Parks, More",Family,4.62260041942249,8607,3111,532,88,60,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 14:26:25.617377
1,16833,3,"Sights & Landmarks, Nature & Parks, More",Couples,4.70730113467594,12768,3376,560,85,44,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 16:26:45.202976
1,3586,3,"Sights & Landmarks, Nature & Parks, More",Solo,4.66508644729504,2599,813,142,24,8,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:09:50.509791
1,1746,3,"Sights & Landmarks, Nature & Parks, More",Business,4.63058419243986,1223,423,82,14,4,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:44:15.084487
1,6948,3,"Sights & Landmarks, Nature & Parks, More",Friends,4.6335636154289,4887,1677,304,59,21,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:57:59.853923
