,POI,link,num_reviews
152,观音堂佛祖庙,/sight/singapore53/1710045.html,"
                                (37条点评)"
153,马拉巴清真寺,/sight/singapore53/1486932.html,"
                                (33条点评)"
154,新加坡国家图书馆,/sight/singapore53/1711293.html,"
                                (91条点评)"
155,圣淘沙自行车环岛,/sight/singapore53/2478999.html,"
                                (17条点评)"
156,樟宜机场Zone X游戏室,/sight/singapore53/1681466.html,"
                                (37条点评)"
157,F1新加坡大奖赛,/sight/singapore53/2479057.html,"
                                (21条点评)"
158,范克里夫水族馆,/sight/singapore53/3684.html,"
                                (50条点评)"
159,老巴刹祭亭,/sight/singapore53/1710055.html,"
                                (59条点评)"
160,OCBC Skyway,/sight/singapore53/2050758.html,"
                                (32条点评)"
161,善特主教座堂,/sight/singapore53/132424.html,"
                                (31条点评)"
162,滨海广场,/sight/singapore53/108080.html,"
                                (11条点评)"
163,丹戎巴葛,/sight/singapore53/1711521.html,"
                                (35条点评)"
164,中央商业区,/sight/singapore53/1710150.html,"
                                (51条点评)"
165,可兰芝农场,/sight/singapore53/1407538.html,"
                                (23条点评)"
166,宏茂桥,/sight/singapore53/1710059.html,"
                                (20条点评)"
167,安德逊桥,/sight/singapore53/1711259.html,"
                                (51条点评)"
168,The Luxe House,/sight/singapore53/1485601.html,"
                                (19条点评)"
169,中央消防局,/sight/singapore53/1710117.html,"
                                (48条点评)"
170,肯特岗公园,/sight/singapore53/1710183.html,"
                                (19条点评)"
171,幻彩生辉灯光秀,/sight/singapore53/2483503.html,"
                                (27条点评)"
172,光明山普觉禅寺,/sight/singapore53/1484710.html,"
                                (34条点评)"
173,幻光雨林之夜,/sight/singapore53/4729341.html,"
                                (33条点评)"
174,莲山双林寺,/sight/singapore53/1710149.html,"
                                (24条点评)"
175,哈查花蒂玛清真寺,/sight/singapore53/1486916.html,"
                                (33条点评)"
176,Kids STOP儿童站,/sight/singapore53/1710103.html,"
                                (41条点评)"
177,Zouk,/sight/singapore53/1827434.html,"
                                (16条点评)"
178,Jurong Eco-Garden,/sight/singapore53/1710202.html,"
                                (22条点评)"
179,未来水世界,/sight/singapore53/2855626.html,"
                                (21条点评)"
180,李光前自然历史博物馆,/sight/singapore53/1710053.html,"
                                (16条点评)"
181,魟鱼湾,/sight/singapore53/1710142.html,"
                                (34条点评)"
182,新加坡达那美拉码头（通往民丹岛）,/sight/singapore53/1412477.html,"
                                (18条点评)"
183,新加坡雪城,/sight/singapore53/1558257.html,"
                                (15条点评)"
184,花园狂想曲,/sight/singapore53/2483300.html,"
                                (21条点评)"
185,梦之湖演出,/sight/sentosa776/1558054.html,"
                                (21条点评)"
186,樟宜时空体验馆,/sight/singapore53/5619359.html,"
                                (5条点评)"
187,新加坡室内体育馆,/sight/singapore53/1711310.html,"
                                (11条点评)"
188,勿洛水库公园,/sight/singapore53/1710082.html,"
                                (26条点评)"
189,AJ Hackett圣淘沙,/sight/sentosa776/2512560.html,"
                                (11条点评)"
190,国家设计中心,/sight/singapore53/1710161.html,"
                                (17条点评)"
191,滨海堤坝,/sight/singapore53/1711404.html,"
                                (57条点评)"
192,印度文化中心,/sight/singapore53/2055866.html,"
                                (6条点评)"
193,政府大厦大草场,/sight/singapore53/1711439.html,"
                                (36条点评)"
194,兀兰,/sight/singapore53/1710087.html,"
                                (10条点评)"
195,拉柏多自然保护区,/sight/singapore53/1710147.html,"
                                (20条点评)"
196,新加坡缅甸玉佛寺,/sight/singapore53/1710143.html,"
                                (25条点评)"
197,圣心天主堂,/sight/singapore53/1710186.html,"
                                (19条点评)"
198,姐妹岛,/sight/singapore53/1710077.html,"
                                (9条点评)"
199,纪念碑,/sight/singapore53/1711538.html,"
                                (26条点评)"
200,露德圣母堂,/sight/singapore53/1710154.html,"
                                (16条点评)"
201,柔佛炮台,/sight/singapore53/1683247.html,"
                                (25条点评)"
