REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,4,185,//www.qyer.com/u/986558,3,2015-10-26,圣家堂的整个风格和雕塑都是别具一格的，外部让人感到震撼，内部让人觉得舒心。,2020-02-03 13:53:19.302050
,4,185,//www.qyer.com/u/1862743,4,2016-04-26,教堂的建筑设计很醒目，内部有个巨大的圆形彩绘玻璃，阳光投射下来感觉很梦幻。,2020-02-03 13:53:19.305288
,4,185,//www.qyer.com/u/5272102,3,2015-10-07,教堂建于1923年，虽然历史不算久远，但这里精致的建筑还是值得参观一下的。,2020-02-03 13:53:19.308922
,4,185,//www.qyer.com/u/2826718,5,2013-12-08,"去的時候沒有很多人,可以安靜遊走下,禱告. 外觀很好看,可以讓心靈釋放的好地方.",2020-02-03 13:53:19.312711
