,Unnamed: 0,POI,link,num_reviews
0,0,新加坡环球影城,https://you.ctrip.com/sight/sentosa776/75830.html,16364
1,1,新加坡滨海湾花园,https://you.ctrip.com/sight/singapore53/132782.html,6378
2,2,圣淘沙岛,https://you.ctrip.com/sight/singapore53/47929.html,3992
3,3,乌节路,https://you.ctrip.com/sight/singapore53/108118.html,2103
4,4,克拉码头,https://you.ctrip.com/sight/singapore53/3654.html,2461
5,5,新加坡动物园,https://you.ctrip.com/sight/singapore53/3678.html,6070
6,6,小印度,https://you.ctrip.com/sight/singapore53/19944.html,1353
7,7,牛车水,https://you.ctrip.com/sight/singapore53/19942.html,1201
8,8,新加坡摩天观景轮,https://you.ctrip.com/sight/singapore53/61017.html,3626
9,9,S.E.A.海洋馆,https://you.ctrip.com/sight/sentosa776/141369.html,6237
10,10,鱼尾狮公园,https://you.ctrip.com/sight/singapore53/62748.html,1710
11,11,夜间野生动物园,https://you.ctrip.com/sight/singapore53/25847.html,3405
12,12,滨海湾金沙,https://you.ctrip.com/sight/singapore53/30007.html,547
13,13,新加坡植物园,https://you.ctrip.com/sight/singapore53/3672.html,701
14,14,圣淘沙名胜世界,https://you.ctrip.com/sight/sentosa776/87411.html,572
15,15,滨海艺术中心,https://you.ctrip.com/sight/singapore53/26705.html,429
16,16,圣淘沙天际线斜坡滑车,https://you.ctrip.com/sight/sentosa776/134468.html,3209
17,17,新加坡国家博物馆,https://you.ctrip.com/sight/singapore53/3662.html,814
18,18,滨海湾,https://you.ctrip.com/sight/singapore53/1711506.html,414
19,19,新加坡河,https://you.ctrip.com/sight/singapore53/25836.html,458
20,20,圣安德烈教堂,https://you.ctrip.com/sight/singapore53/3659.html,462
21,21,滨海湾金沙空中花园,https://you.ctrip.com/sight/singapore53/1484299.html,736
22,22,新加坡国家美术馆,https://you.ctrip.com/sight/singapore53/136896.html,573
23,23,河川生态园,https://you.ctrip.com/sight/singapore53/137344.html,1194
24,24,滨海湾金沙酒店无边泳池,https://you.ctrip.com/sight/singapore53/1407535.html,643
25,25,时光之翼,https://you.ctrip.com/sight/singapore53/1411763.html,2570
26,26,水上探险乐园,https://you.ctrip.com/sight/sentosa776/1486042.html,2034
27,27,巴拉湾海滩,https://you.ctrip.com/sight/sentosa776/107848.html,405
28,28,哈芝巷,https://you.ctrip.com/sight/singapore53/108091.html,374
29,29,苏丹清真寺,https://you.ctrip.com/sight/singapore53/3660.html,274
30,30,裕廊飞禽公园,https://you.ctrip.com/sight/jurong21393/3679.html,888
31,31,赞美广场,https://you.ctrip.com/sight/singapore53/132423.html,210
32,32,西乐索海滩,https://you.ctrip.com/sight/sentosa776/107849.html,302
33,33,双螺旋桥,https://you.ctrip.com/sight/singapore53/137357.html,365
34,34,马里安曼兴都庙,https://you.ctrip.com/sight/singapore53/25841.html,394
35,35,新加坡艺术科学博物馆,https://you.ctrip.com/sight/singapore53/1411252.html,604
36,36,新加坡缆车,https://you.ctrip.com/sight/singapore53/1407536.html,963
37,37,甘榜格南,https://you.ctrip.com/sight/singapore53/25840.html,254
38,38,东海岸公园,https://you.ctrip.com/sight/singapore53/7681.html,284
39,39,花柏山公园,https://you.ctrip.com/sight/singapore53/7676.html,296
40,40,旧禧街警察局,https://you.ctrip.com/sight/singapore53/30010.html,196
41,41,新加坡佛牙寺龙华院,https://you.ctrip.com/sight/singapore53/145844.html,287
42,42,新加坡国立大学,https://you.ctrip.com/sight/singapore53/1409771.html,140
43,43,芽笼士乃,https://you.ctrip.com/sight/singapore53/7682.html,173
44,44,国家胡姬花园,https://you.ctrip.com/sight/singapore53/1674015.html,396
45,45,新加坡艺术博物馆,https://you.ctrip.com/sight/singapore53/3661.html,209
46,46,海豚园,https://you.ctrip.com/sight/sentosa776/1703716.html,396
47,47,新加坡南洋理工大学,https://you.ctrip.com/sight/singapore53/1409766.html,188
48,48,武吉知马天然保护区,https://you.ctrip.com/sight/singapore53/7689.html,150
49,49,乌敏岛,https://you.ctrip.com/sight/pulauubin21394/7684.html,151
50,50,红点设计博物馆,https://you.ctrip.com/sight/singapore53/147110.html,190
51,51,维多利亚剧院与音乐厅,https://you.ctrip.com/sight/singapore53/3674.html,140
52,52,荷兰村,https://you.ctrip.com/sight/singapore53/30072.html,122
53,53,旧国会大厦艺术之家,https://you.ctrip.com/sight/singapore53/25848.html,119
54,54,武吉士村,https://you.ctrip.com/sight/singapore53/7674.html,119
55,55,CITY TOUR鸭子船,https://you.ctrip.com/sight/singapore53/2481730.html,380
56,56,福康宁公园,https://you.ctrip.com/sight/singapore53/1710111.html,156
57,57,新加坡集邮博物馆,https://you.ctrip.com/sight/singapore53/1409537.html,112
58,58,亚洲文明博物馆,https://you.ctrip.com/sight/singapore53/1710133.html,109
59,59,詹美回教堂,https://you.ctrip.com/sight/singapore53/1486529.html,117
60,60,滨海步道,https://you.ctrip.com/sight/singapore53/1710078.html,94
61,61,迈佳探险乐园,https://you.ctrip.com/sight/sentosa776/134485.html,107
62,62,ION天空,https://you.ctrip.com/sight/singapore53/1710137.html,112
63,63,特丽爱3D美术馆,https://you.ctrip.com/sight/sentosa776/1417685.html,181
64,64,榜鹅沙滩,https://you.ctrip.com/sight/singapore53/1476722.html,71
65,65,麦里芝水库,https://you.ctrip.com/sight/singapore53/1710191.html,62
66,66,登布西山,https://you.ctrip.com/sight/singapore53/30050.html,69
67,67,巴西立公园,https://you.ctrip.com/sight/singapore53/1710003.html,78
68,68,土生华人博物馆,https://you.ctrip.com/sight/singapore53/1711551.html,77
