REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,4,19,[],[],[],[],2020-01-26 15:08:13.483786
,4,19,[],[],[],[],2020-01-26 15:08:16.933948
