REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,85,M515shunyi1618,5.0,2019-06-25,Not Available,非常棒的体验课程，喜欢自己动手的可以来试一试，做一下七色的蛋糕，既好看又好吃。,2020-02-16 16:22:20.567546
,2,85,_ceai****5795,4.0,2018-01-04,Not Available,七层彩虹蛋糕，视觉就是艺术享受。,2020-02-16 16:22:20.571770
,2,85,M25****5976,4.0,2018-03-09,Not Available,去过的小伙伴，谁知道，是怎么收费呀？,2020-02-16 16:22:20.575816
,2,85,www嘻嘻www,3.0,2018-01-16,Not Available,烘培课程里面各种奶昔的做法，我觉得非常感兴趣。,2020-02-16 16:22:20.579678
,2,85,288****107,5.0,2018-05-25,Not Available,这间店隐藏在公寓里，有种工作室的感觉。 角落的一箱黄澄澄的芒果，看得人心潮澎湃口水哗啦。 好的食材决定了好的开端，也相当于成功了一半。现场制作透明化管理，看得见的美食闻得到的诱惑。虽然等了一段时间，但看到成品的一瞬间觉得值了，迷你了些却真的精致。 在我们之前有个美女好像住附近的是她家熟客，要不是离得远价格小贵，还是可以再光顾哒。 可惜得是盆友带回家，蛋糕已经碰撞得面目全非，建议不赶时间现吃。 貌似送了小小的蛋糕胚人手一个，祝越办越好活动多多哈。,2020-02-16 16:22:20.583623
,2,85,M48****389,5.0,2018-04-16,Not Available,因为到的比较早，所以全面位的将甜品台拍了一下，他们家的甜品是作为餐前上的。有很多类别，出品看上去还都很精致。例如姜饼，杯子蛋糕，裸蛋糕，抹茶蛋糕等等。 我们这一桌上了杯子蛋糕，裸蛋糕以及牛轧糖 个人觉得蛋糕属于清新系列，口味偏淡。牛轧糖则属于中规中矩，没有感觉特别惊艳。,2020-02-16 16:22:20.587520
,2,85,诺伊豪森王仙芝,5.0,2018-03-18,Not Available,很有意义的体验，很干净卫生，还穿插营养的知识，瞬间感觉做蛋糕的学问也是大大的,2020-02-16 16:22:20.591207
,2,85,刘备很忙,5.0,2018-04-21,Not Available,很不错，很喜欢，很高兴，很愉快，很好玩,2020-02-16 16:22:20.594642
,2,85,_ceai****5795,4.0,2017-11-16,Not Available,不只是一种食物制作，也是艺术的追求。,2020-02-16 16:22:20.598063
