WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
1,661088923,Facility,Jurong birds park,0.963296,1,0.229342,0.970241,positive,0.055568,0.840236,0.042965,0.032865,0.016837,,,,
1,661088923,Quantity,100 years,0.089048,1,0.8,0.970241,positive,0.055568,0.840236,0.042965,0.032865,0.016837,,,,
1,634218543,Facility,Jurong Polyclinic,0.952007,1,0.39901,0.0,neutral,0.18782,0.116453,0.125882,0.115816,0.070783,,,,
1,634218543,Quantity,1.5 km,0.91879,1,0.8,0.0,neutral,0.079413,0.421976,0.208127,0.035076,0.079541,,,,
1,634218543,GeographicFeature,Jurong lake,0.753848,1,0.899004,0.0,neutral,0.079413,0.421976,0.208127,0.035076,0.079541,,"['Location', 'BodyOfWater', 'Lake']",Jurong_Lake,http://dbpedia.org/resource/Jurong_Lake
1,634218543,Location,Jurong,0.667932,1,0.843793,0.0,neutral,0.18782,0.116453,0.125882,0.115816,0.070783,,,,
1,634218543,Facility,Chinese garden,0.633815,1,0.691798,0.0,neutral,0.079413,0.421976,0.208127,0.035076,0.079541,,,,
1,634218543,Sport,cricket,0.242106,1,0.999413,0.886759,positive,0.101243,0.602631,0.020467,0.228571,0.140563,,"['Game', 'OlympicEvent', 'AwardDiscipline']",Cricket,http://dbpedia.org/resource/Cricket
1,634218543,Sport,football,0.188614,1,0.999972,0.886759,positive,0.101243,0.602631,0.020467,0.228571,0.140563,,,,
1,634218543,Facility,Pagoda building,0.164401,1,0.151588,0.974533,positive,0.005192,0.750323,0.104689,0.007892,0.001524,,,,
1,630181266,Location,Jurong,0.978348,1,0.780509,0.90778,positive,0.035286,0.808161,0.033495,0.027729,0.019546,,,,
1,629512579,Facility,Chinese Garden MRT station,0.978348,1,0.591785,0,neutral,0.049403,0.518675,0.020346,0.026872,0.032876,,,,
1,619071142,Facility,Chinese garden Mrt station,0.951589,1,0.428529,0.0,neutral,0.021035,0.089772,0.026145,0.481498,0.021911,,,,
1,619071142,Quantity,8 mins,0.925099,1,0.8,0.0,neutral,0.172495,0.543676,0.047362,0.065233,0.057428,,,,
1,619071142,Facility,Mrt station,0.899479,1,0.744188,0.0,neutral,0.172495,0.543676,0.047362,0.065233,0.057428,,,,
1,619071142,Facility,Chinese garden,0.758926,2,0.638395,0.0,neutral,0.089652,0.470328,0.057841,0.088831,0.084006,,,,
1,619071142,Quantity,1900hrs,0.742328,1,0.8,-0.906097,negative,0.163537,0.518563,0.01676,0.073514,0.045703,,,,
1,619071142,Person,Abit,0.449292,1,0.374613,-0.906097,negative,0.543778,0.196216,0.010873,0.204342,0.017721,,,,
1,619071142,Facility,live turtle & tortoise museum,0.355986,1,0.181761,0.0,neutral,0.07904,0.484367,0.113199,0.069472,0.076189,,,,
1,619071142,Company,SBC,0.25534,2,0.823482,0.0,neutral,0.07508,0.353574,0.11758,0.165729,0.260606,,['Organization'],Singapore_Broadcasting_Corporation,http://dbpedia.org/resource/Singapore_Broadcasting_Corporation
1,619071142,Facility,white rainbow bridge,0.078063,1,0.071662,-0.839045,negative,0.042094,0.743261,0.032576,0.056287,0.049744,,,,
1,618814546,Person,Bonsai,0.958279,1,0.203085,0.920766,positive,0.025354,0.899214,0.022551,0.016691,0.003913,,,,
1,618814546,Location,Singapore,0.937981,1,0.996064,0.942837,positive,0.617441,0.25889,0.113459,0.010707,0.037549,,,Singapore,http://dbpedia.org/resource/Singapore
1,618814546,Sport,Cycling,0.206657,1,0.951142,0.955833,positive,0.093923,0.548073,0.154889,0.03698,0.062317,,['OrganizationSector'],Cycling,http://dbpedia.org/resource/Cycling
1,612137869,Facility,Chinese Garden MRT station,0.978348,1,0.460671,0.796497,positive,0.089225,0.433056,0.068963,0.040813,0.036439,,,,
1,558497977,Quantity,15 minutes,0.978348,1,0.8,0,neutral,0.568074,0.297483,0.10241,0.0606,0.037842,,,,
1,558489929,Facility,White Rainbow Bridge,0.951111,2,0.835843,0.0,neutral,0.071166,0.827146,0.018211,0.015453,0.044426,,,,
1,558489929,Facility,Chinese Garden,0.697288,2,0.833341,0.0,neutral,0.037018,0.796521,0.007625,0.032936,0.01444,,,,
1,558489929,Facility,Main Arch Building,0.658831,2,0.801323,0.0,neutral,0.061797,0.870725,0.007255,0.038174,0.010554,,,,
1,558489929,Facility,Chinese Garden Station,0.616362,1,0.497139,0.0,neutral,0.048609,0.380401,0.014491,0.028477,0.026168,,,,
1,558489929,Location,Singapore,0.496643,2,0.999979,0.0,neutral,0.046321,0.764944,0.024769,0.018771,0.024174,,,Singapore,http://dbpedia.org/resource/Singapore
1,558489929,Quantity,"135,000 square meters",0.488719,1,0.8,0.0,neutral,0.039786,0.771962,0.009094,0.037465,0.015406,,,,
1,558489929,Person,Professor Yuen,0.474394,1,0.887455,0.0,neutral,0.039786,0.771962,0.009094,0.037465,0.015406,,,,
1,558489929,Person,chen Yu,0.471824,1,0.631086,0.0,neutral,0.039786,0.771962,0.009094,0.037465,0.015406,,['Athlete'],Chen_Yu_%28badminton%29,http://dbpedia.org/resource/Chen_Yu_%28badminton%29
1,558489929,Facility,Red Bridge,0.42885,1,0.454537,0.0,neutral,0.163736,0.239659,0.058872,0.040103,0.011579,,,,
1,558489929,Facility,East Gate,0.405834,1,0.719175,0.0,neutral,0.163736,0.239659,0.058872,0.040103,0.011579,,,,
1,558489929,Facility,West Gate,0.397033,1,0.852241,0.0,neutral,0.455576,0.135156,0.176051,0.026051,0.033221,,,,
1,558489929,Facility,Summer Palace,0.316237,1,0.985627,0.0,neutral,0.067884,0.687741,0.032714,0.022981,0.065932,,"['Location', 'TouristAttraction', 'Building']",Summer_Palace,http://dbpedia.org/resource/Summer_Palace
1,558489929,Location,Jurong,0.311799,1,0.9359,0.0,neutral,0.039786,0.771962,0.009094,0.037465,0.015406,,,,
1,558489929,Quantity,Four stone,0.305177,1,0.8,0.0,neutral,0.06133,0.69126,0.014235,0.089778,0.058241,,,,
1,558489929,Location,China,0.242519,3,0.999854,0.0,neutral,0.032389,0.871974,0.003257,0.060052,0.038717,,"['Region', 'AdministrativeDivision', 'Country', 'GovernmentalJurisdiction', 'Kingdom', 'FilmScreeningVenue']",China,http://dbpedia.org/resource/China
1,558489929,Location,Beijing,0.220686,1,0.999804,0.0,neutral,0.067884,0.687741,0.032714,0.022981,0.065932,,,,
1,558489929,Location,Taiwan,0.21188,1,0.997728,0.0,neutral,0.039786,0.771962,0.009094,0.037465,0.015406,,"['GeographicFeature', 'Country', 'Island']",Taiwan,http://dbpedia.org/resource/Taiwan
1,558489929,Organization,Red Bridge,0.203182,1,0.33165,0.0,neutral,0.06133,0.69126,0.014235,0.089778,0.058241,,,,
1,558489929,Quantity,two hours,0.167828,1,0.8,0.0,neutral,0.298487,0.185126,0.104678,0.056192,0.379946,,,,
1,558489929,Person,Hua Mulan,0.165552,1,0.668447,0.89369,positive,0.230745,0.468206,0.021845,0.140279,0.140962,,,Hua_Mulan,http://dbpedia.org/resource/Hua_Mulan
1,558489929,Facility,Tortoise Museum,0.01429,1,0.468238,0.0,neutral,0.184856,0.402282,0.057188,0.144193,0.193966,,,,
1,556789583,Quantity,1 hr,0.963296,1,0.8,0.0,neutral,0.142648,0.668454,0.054704,0.032339,0.123817,,,,
1,556789583,Location,West Coast,0.6444,1,0.541567,0.894027,positive,0.223364,0.267244,0.036587,0.043423,0.120803,,,,
1,554889223,Facility,Turtles museum,0.978348,1,0.563607,0.877873,positive,0.041766,0.795736,0.057619,0.0281,0.048022,,,,
1,553409867,Company,Mooncake Festivals,0.963296,1,0.223437,0,neutral,0.192755,0.612887,0.033958,0.07937,0.083581,,,,
1,553409867,Location,Singapore,0.534538,1,0.99692,0,neutral,0.192755,0.612887,0.033958,0.07937,0.083581,,,Singapore,http://dbpedia.org/resource/Singapore
1,529822704,Facility,chinese garden mrt station,0.958279,1,0.514464,0.0,neutral,0.080573,0.603825,0.03303,0.019537,0.027737,,,,
1,529822704,Location,singapore,0.615882,2,0.999964,0.747089,positive,0.224435,0.621753,0.058869,0.015934,0.016622,,,Singapore,http://dbpedia.org/resource/Singapore
1,529822704,Sport,cricket,0.349579,1,0.999764,0.549788,positive,0.356541,0.535968,0.060388,0.038761,0.030209,,"['Game', 'OlympicEvent', 'AwardDiscipline']",Cricket,http://dbpedia.org/resource/Cricket
1,520501747,Facility,Chinese Gardens,0.978348,1,0.519304,-0.6465,negative,0.082219,0.835668,0.062767,0.007959,0.01605,,,,
1,497030733,Facility,Turtle museum,0.95577,1,0.682335,0.86374,positive,0.021276,0.814186,0.03207,0.06417,0.036511,,,,
1,497030733,Location,Singapore,0.594908,1,0.99825,0.693868,positive,0.083012,0.39897,0.045587,0.036261,0.277294,,,Singapore,http://dbpedia.org/resource/Singapore
1,497030733,Person,bridge,0.425728,1,0.308724,0.957516,positive,0.018102,0.862698,0.042184,0.010823,0.071756,,,,
1,497030733,Facility,Chinese Garden,0.382924,1,0.396268,-0.519953,negative,0.065509,0.206123,0.036902,0.652004,0.126576,,,,
1,495009080,Quantity,7mins,0.963296,1,0.8,0,neutral,0.147423,0.657025,0.065362,0.066691,0.073478,,,,
1,495009080,Facility,Chinese Garden,0.730725,1,0.228426,0,neutral,0.168917,0.335681,0.080574,0.115455,0.197686,,,,
1,485358459,Facility,Chinese Garden,0.978348,1,0.385543,0,neutral,0.052707,0.760506,0.023675,0.015436,0.10034,,,,
1,484001176,Location,Singapore,0.958279,1,0.999776,0.809849,positive,0.070886,0.5811,0.172118,0.062247,0.021663,,,Singapore,http://dbpedia.org/resource/Singapore
