"","user_id"
"0","1915926137"
"1","2091914273"
"2","2441228134"
"3","5482486117"
"4","3325794132"
"5","2712241671"
"6","5573634134"
"7","5089539993"
"8","2699127004"
"9","1863760340"
"10","1957637871"
"11","1932988293"
"12","3307813297"
"13","1232552342"
"14","5663306143"
"15","2625691393"
"16","1349283344"
"17","2118644453"
"18","1679547165"
"19","2211487013"
"20","2208271024"
"21","2285297305"
"22","2058596021"
"23","2286250623"
"24","1848083232"
"25","5897982074"
"26","1739698860"
"27","1722824681"
"28","2802086915"
"29","5309948319"
"30","2954262091"
"31","2636903447"
"32","6353580925"
"33","2593096852"
"34","1772448253"
"35","1946244747"
"36","1077173264"
"37","2690533735"
"38","1760733350"
"39","1880561444"
"40","3564376162"
"41","1905604923"
"42","1576047545"
"43","5664034496"
"44","1289572527"
"45","1765978721"
"46","1240167981"
"47","2290182951"
"48","1736238663"
"49","1561340710"
"50","5204680346"
"51","1827801541"
"52","1771029947"
"53","2275382294"
"54","1781362884"
"55","2184392670"
"56","2514880452"
"57","2137983014"
"58","2290702972"
"59","5034498967"
"60","1928010053"
"61","1865910037"
"62","5254870783"
"63","2995846521"
"64","2382770865"
"65","1830874702"
"66","5315253504"
"67","1372925063"
"68","1193305621"
"69","1951188780"
"70","1748154170"
"71","1845450684"
"72","3026044033"
"73","5154036754"
"74","5776551460"
"75","7046036062"
"76","6061998879"
"77","1826000981"
"78","1811953844"
"79","1098631562"
"80","2527833620"
"81","1805445427"
"82","1496896072"
"83","2299052577"
"84","1280245551"
"85","1875622641"
"86","3476918092"
"87","1169891354"
"88","2851322092"
"89","2697206461"
"90","3871398386"
"91","6175206359"
"92","2139103595"
"93","1806370394"
"94","1230066203"
"95","5143883587"
"96","3496186587"
"97","5457854230"
"98","1624282430"
"99","1878285691"
"100","2153183412"
"101","3941697401"
"102","2670541711"
"103","2824015994"
"104","2419108667"
"105","3551658901"
"106","1256050662"
"107","1918608731"
"108","5117341827"
"109","1181902361"
"110","1899023187"
"111","1888084050"
"112","1671497705"
"113","7190046798"
"114","1969433355"
"115","1629966190"
"116","3944567911"
"117","6970015967"
"118","3109153613"
"119","2254030110"
"120","1644421914"
"121","1796089683"
"122","1225900427"
"123","1770332670"
"124","2111132927"
"125","2770819231"
"126","1811052605"
"127","5672880813"
"128","1834614447"
"129","1731676893"
"130","1843969024"
"131","2280431293"
"132","2178776590"
"133","2874708985"
"134","1833509572"
"135","5628181489"
"136","6141008794"
"137","5683564497"
"138","6517489597"
"139","6435433728"
"140","3220272465"
"141","1262210202"
"142","1827537341"
"143","6060382681"
"144","6651043357"
"145","1724688555"
"146","1718325891"
"147","1724974374"
"148","5701560760"
"149","1798276812"
