,user_id
0,1726561274
1,2876142733
2,5827502675
3,2496602810
4,2527833620
5,2844110551
6,1805445427
7,1971017777
8,1496896072
9,1496896072
10,1496896072
11,2299052577
12,1423260575
13,1830239064
14,1280245551
15,2129215690
16,2078429997
17,3182351390
18,1875622641
19,1841355670
20,1795831583
21,3512890782
22,2400347260
23,1694958915
24,3476918092
25,7118641594
26,2650876525
27,6576832397
28,1801788201
29,1689922837
30,2383956500
31,3306050212
32,2235850132
33,1169891354
34,2441720320
35,1662382020
36,2815224697
37,2261575080
38,1739421757
39,5151035041
40,1800268374
41,6174744415
42,5872678266
43,2158022120
44,2103069692
45,1800713531
46,1800713531
47,1252647747
48,1821348293
49,1560075282
50,3823582851
51,2909962381
52,1846300880
53,1829165140
54,1772908380
55,1765487242
56,2204465400
57,5789729847
58,2450047157
59,2300955182
60,2175381683
61,6071070105
62,2306280532
63,2415200495
64,6244018206
65,1635583335
66,1976116815
67,2178606892
68,1748045984
69,1667224987
70,1735666523
71,5491325168
72,1636378567
73,1971017777
74,1728909262
75,1931141685
76,2023300504
77,5983243488
78,6435924424
79,2851322092
80,6720651820
81,2697206461
82,6435924424
83,7160601289
84,7160601289
85,2310678327
86,1785047951
87,5532630019
88,1783910177
89,1643241687
90,1797096874
91,3871398386
92,1735666523
93,7018292050
94,1169891354
95,1740367552
96,6615935263
97,1772908380
98,6175206359
99,2168857341
100,1663600161
101,2924916114
102,2005050007
103,3431093502
104,7164672051
105,5600366016
106,2139103595
107,6157194094
108,1806370394
109,6331621501
110,1808631194
111,2032235565
112,2796636923
113,1762878217
114,1904041793
115,1898366970
116,2648197104
117,1743213002
118,1230066203
119,3276890642
120,1560075282
121,2133533867
122,5342995158
123,1560075282
124,3221383892
125,2036187171
126,1735666523
127,1659977000
128,2734654452
129,1932087807
130,1949625811
131,1963559973
132,1780941714
133,2260105464
134,3177034165
135,3032609514
136,2329159325
137,5143883587
138,5464838241
139,2002676372
140,5028954852
141,3496186587
142,2455683371
143,5348738417
144,2694294654
145,6417907587
146,7048838454
147,2634322903
148,1610892332
149,1768295964
150,6064224001
151,1932074175
152,1728954205
153,2100705657
154,5457854230
155,1843349581
156,3514463762
157,3253620984
158,6260737148
159,1843349581
160,1624282430
161,6454913384
162,1577885055
163,5264764257
164,5963608724
165,5832636762
166,2797819135
167,1243460281
168,1749074062
169,1878285691
170,6305421291
171,2012444772
172,5780033567
173,5503291410
174,2153183412
175,1678090904
176,2665187617
177,1931215937
178,1931215937
179,1931215937
180,2409481690
181,5548158693
182,2903411713
183,1957459902
184,2680466510
185,2802510793
186,6935885442
187,5103129021
188,1821006960
189,2335241464
190,1974197037
191,1418847125
192,6560193173
193,2267978013
194,2267978013
195,2267978013
196,2267978013
197,2267978013
198,2267978013
199,2267978013
200,2267978013
201,2267978013
202,2267978013
203,2267978013
204,2267978013
205,2267978013
206,3965620196
207,3941697401
208,2091537005
209,1783596570
210,3299509581
211,6648818671
212,1977572684
213,5615168827
214,2670541711
215,1860106542
216,2655203960
217,2074824531
218,1710176863
219,3826656610
220,2642587661
221,1698288255
222,3147121363
223,6662809434
224,2642587661
225,2824015994
226,1740462341
227,6034340990
228,1768295964
229,1897859062
230,1783910177
231,2082997563
232,2181943675
233,1423260575
234,5585161666
235,1862225885
236,5519710487
237,1324622897
238,1482480513
239,3802195512
240,3551658901
241,1932311143
242,3227630892
243,1867148733
244,2202237275
245,2422811892
246,2422811892
247,2903411713
248,1256050662
249,1316609934
250,1918608731
251,2108515065
252,1880302754
253,5117341827
254,2954078722
255,1731239197
256,1657150172
257,1918608731
258,1657150172
259,1966579885
260,1578714763
261,5990625986
262,2621906485
263,2427993863
264,1833248140
265,1736399952
266,5555657191
267,3299276365
268,2186689615
269,3165789130
270,1970428785
271,5617473513
272,5539343545
273,1967326105
274,1810964584
275,3231101114
276,2665187617
277,2665187617
278,2683108081
279,1953752257
280,1670669495
281,6362400716
282,1975208271
283,1181902361
284,1166949677
285,2409404492
286,6483039323
287,1899023187
288,1593663581
289,1862225885
290,1888084050
291,1316609934
292,1952873843
293,2069325973
294,1627153790
295,6064120025
296,2827852047
297,2267978013
298,5380406173
299,1671497705
300,6089324302
301,7190046798
302,5818031980
303,2858340734
304,2872120170
305,1690666073
306,2081719675
307,2081719675
308,5607106851
309,2662468497
310,5607106851
311,2130092753
312,50881867
313,2202237275
314,2126072680
315,1796836324
316,2143190335
317,2171854470
318,1840433792
319,6511654568
320,1734053144
321,1843265085
322,1871083480
323,1775900851
324,2113628134
325,1690666073
326,2422811892
327,2422811892
328,2631004961
329,2438601571
330,2655785373
331,1894591281
332,3180855972
333,6332648439
334,3459269334
335,3033083545
336,1930731604
337,3860486040
338,2812367235
339,2162307145
340,1794422352
341,3796977562
342,5285305715
343,6332648439
344,2422811892
345,1969433355
346,6930120615
347,1778837415
348,2267978013
349,2267978013
350,1629966190
351,6196186567
352,2723109121
353,3944567911
354,7185969966
355,5348738417
356,2872120170
357,2979206255
358,6970015967
359,5690438752
360,2682597012
361,1812273032
362,5503291410
363,7166502273
364,3853712735
365,6064061236
366,5914066388
367,5914066388
368,1952873843
369,1918608731
370,3109153613
371,2254030110
372,6479410169
373,6495431775
374,1720769964
375,1720769964
376,1469935175
377,6612165497
378,2094406084
379,7041336094
380,5626563800
381,6606422440
382,5601607324
383,1871988475
384,5468914147
385,2676713711
386,5185076946
387,6332648439
388,1644421914
389,3539829317
390,2814422441
391,7195027564
392,2814422441
393,6712124768
394,2931629071
395,6712124768
396,1796089683
397,1705339097
398,1752198545
399,1882166700
400,6196186567
401,1225900427
402,5828012125
403,1850475517
404,1787163584
405,2755171344
406,3853712735
407,7070401071
408,6332648439
409,2463445902
410,2422811892
411,2588149167
412,6332648439
413,3976650333
414,3607018174
415,7020095360
416,2502575757
417,5880482792
418,5663911799
419,1946183775
420,2011862867
421,3555714251
422,5864077842
423,2151772867
424,1867148733
425,1449779313
426,1748528494
427,5143439124
428,1770332670
429,1775323817
