REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
66952,2,390,_ceai****5795,4.0,2017-11-30,Not Available,音乐厅处处充满艺术气息，建筑本身就是。,2020-02-16 18:53:53.846301
66953,2,390,_WeCh****995193,1.0,2018-07-16,Not Available,大家不要在携程上订票了，我在携程上定的机票，由于携程没有提示短信，导致误机，造成我们损失五千多元，服务实在是太差了,2020-02-16 18:53:53.853369
