WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
2,59824,Facility,Changi Airport Terminal,0.954265,1,0.821845,0.451515,positive,0.116037,0.305717,0.124684,0.154635,0.340625,,,,
2,59824,Quantity,12 meters,0.579353,1,0.8,0.451515,positive,0.116037,0.305717,0.124684,0.154635,0.340625,,,,
2,59824,Location,Singapore,0.401174,1,0.890449,0.451515,positive,0.116037,0.305717,0.124684,0.154635,0.340625,,,Singapore,http://dbpedia.org/resource/Singapore
2,59824,Quantity,4 seconds,0.206843,1,0.8,0.451515,positive,0.116037,0.305717,0.124684,0.154635,0.340625,,,,
2,59824,Facility,Changi Airport,0.154088,1,0.977914,0.0,neutral,0.387854,0.188386,0.115604,0.038193,0.095963,,"['Location', 'TransportTerminus', 'Airport']",Singapore_Changi_Airport,http://dbpedia.org/resource/Singapore_Changi_Airport
