INDEX,POI,link,num_reviews
82,樟宜机场娱乐区,/sight/singapore53/1681396.html,"
                                (161条点评)"
83,海事博物馆,/sight/singapore53/66806.html,"
                                (201条点评)"
84,彩虹蛋糕烘焙课程,/sight/singapore53/2482168.html,"
                                (9条点评)"
85,凤梨条手工烘焙课程,/sight/singapore53/2482158.html,"
                                (5条点评)"
86,SMU跑酷训练课程,/sight/singapore53/2482349.html,"
                                (2条点评)"
87,滑板公园滑板体验课程,/sight/singapore53/2482167.html,"
                                (3条点评)"
88,克兰芝马场体验,/sight/singapore53/2482565.html,"
                                (2条点评)"
89,开放式农场社区绿色瑜伽课程,/sight/singapore53/2481738.html,"
                                (2条点评)"
90,节庆大道,/sight/sentosa776/1407846.html,"
                                (147条点评)"
91,新加坡杜莎夫人蜡像馆,/sight/singapore53/1480769.html,"
                                (172条点评)"
92,英比奥山,/sight/sentosa776/25865.html,"
                                (120条点评)"
93,丹戎海滩,/sight/singapore53/107847.html,"
                                (133条点评)"
94,莱佛士坊,/sight/singapore53/30051.html,"
                                (99条点评)"
95,驳船码头,/sight/singapore53/25833.html,"
                                (127条点评)"
96,咏春拳武术工作坊课程,/sight/singapore53/2482476.html,"
                                (1条点评)"
97,财富喷泉,/sight/singapore53/132965.html,"
                                (114条点评)"
98,加文纳桥,/sight/singapore53/30008.html,"
                                (133条点评)"
99,樟宜机场溜滑梯@T3,/sight/singapore53/1681438.html,"
                                (84条点评)"
100,MINT玩具博物馆,/sight/singapore53/132422.html,"
                                (174条点评)"
101,虎豹别墅,/sight/singapore53/3680.html,"
                                (99条点评)"
102,樟宜机场体验区,/sight/singapore53/1681440.html,"
                                (81条点评)"
103,西乐索炮台,/sight/singapore53/66800.html,"
                                (110条点评)"
104,星耀樟宜,/sight/singapore53/5254437.html,"
                                (79条点评)"
105,蝴蝶公园与昆虫王国,/sight/singapore53/66799.html,"
                                (159条点评)"
106,马来文化馆,/sight/singapore53/1409536.html,"
                                (100条点评)"
107,樟宜机场儿童乐园,/sight/singapore53/1681376.html,"
                                (69条点评)"
108,樟宜机场社交树,/sight/singapore53/1681362.html,"
                                (65条点评)"
109,仙鹤芭蕾演出,/sight/sentosa776/110026.html,"
                                (82条点评)"
110,亚美尼亚教堂,/sight/singapore53/7547.html,"
                                (118条点评)"
111,圣淘沙冲浪区,/sight/singapore53/134484.html,"
                                (77条点评)"
112,新加坡和平纪念碑,/sight/singapore53/3669.html,"
                                (139条点评)"
113,双溪布洛湿地保护区,/sight/singapore53/1409527.html,"
                                (76条点评)"
114,樟宜机场互动艺术站,/sight/singapore53/1681411.html,"
                                (46条点评)"
115,天福宫,/sight/singapore53/25842.html,"
                                (100条点评)"
116,火焰山,/sight/singapore53/66807.html,"
                                (57条点评)"
117,iFly风洞飞行,/sight/singapore53/1986765.html,"
                                (138条点评)"
118,浮尔顿一号,/sight/singapore53/137343.html,"
                                (98条点评)"
119,圣约翰岛,/sight/singapore53/3657.html,"
                                (50条点评)"
120,花穹,/sight/singapore53/2054208.html,"
                                (100条点评)"
121,加东娘惹文化区,/sight/singapore53/1410561.html,"
                                (81条点评)"
122,云雾森林玻璃屋,/sight/singapore53/2054211.html,"
                                (114条点评)"
123,新加坡河游船,/sight/singapore53/2479213.html,"
                                (43条点评)"
124,莱佛士爵士登岸遗址,/sight/singapore53/3675.html,"
                                (126条点评)"
125,胡姬山庄,/sight/singapore53/7685.html,"
                                (52条点评)"
126,草药香料园,/sight/sentosa776/66804.html,"
                                (48条点评)"
127,圣淘沙4D探险乐园,/sight/singapore53/1418247.html,"
                                (136条点评)"
128,孙中山南洋纪念馆,/sight/singapore53/7669.html,"
                                (85条点评)"
129,知新馆,/sight/singapore53/3655.html,"
                                (75条点评)"
130,The Substation,/sight/singapore53/136825.html,"
                                (29条点评)"
131,万象馆,/sight/singapore53/66803.html,"
                                (75条点评)"
132,新加坡总统府,/sight/singapore53/1710192.html,"
                                (128条点评)"
133,圣淘沙大自然探索中心,/sight/singapore53/134481.html,"
                                (54条点评)"
134,珊顿大道,/sight/singapore53/3682.html,"
                                (41条点评)"
135,动感电影院,/sight/sentosa776/25872.html,"
                                (46条点评)"
136,樟宜村,/sight/singapore53/1683257.html,"
                                (42条点评)"
137,阿都卡夫清真寺,/sight/singapore53/30009.html,"
                                (54条点评)"
138,南部山脊,/sight/singapore53/1710114.html,"
                                (27条点评)"
139,樟宜机场Canopy游乐场,/sight/singapore53/1681462.html,"
                                (31条点评)"
140,新加坡管理大学,/sight/singapore53/1409772.html,"
                                (45条点评)"
141,樟宜海滩,/sight/singapore53/1683227.html,"
                                (44条点评)"
142,擎天大树林,/sight/singapore53/2056193.html,"
                                (66条点评)"
143,乌节路图书馆,/sight/singapore53/1710211.html,"
                                (75条点评)"
144,千灯寺院,/sight/singapore53/25844.html,"
                                (39条点评)"
145,Gogreen思维车探险旅程,/sight/sentosa776/134483.html,"
                                (37条点评)"
146,龟屿岛,/sight/singapore53/3685.html,"
                                (56条点评)"
147,克兰芝烈士纪念碑,/sight/singapore53/7686.html,"
                                (50条点评)"
148,樟宜博物馆,/sight/singapore53/7683.html,"
                                (47条点评)"
149,裕廊湖花园,/sight/singapore53/1710044.html,"
                                (30条点评)"
150,新达城会展中心,/sight/singapore53/1710088.html,"
                                (43条点评)"
151,趣志尼亚（KidZania）新加坡,/sight/singapore53/1929966.html,"
                                (96条点评)"
152,观音堂佛祖庙,/sight/singapore53/1710045.html,"
                                (37条点评)"
