"","poi_name","poi_url","area","pk","address","lat","lng","facebook_places_id"
"70","Raffles City Convention Centre","/explore/locations/427648/raffles-city-convention-centre/","singapore","427648","252 North Bridge Road, Singapore 179103","1.2940541029645","103.85304720396","140439832673003"
"71","Golden Village Suntec City","/explore/locations/442277253/golden-village-suntec-city/","singapore","442277253","3 Temasek  Boulevard #03-373 Suntec City Mall","1.2945035858022","103.85999544594","819757228066377"
"72","Sofra Turkish Cafe & Restaurant","/explore/locations/703407/sofra-turkish-cafe-restaurant/","singapore","703407","#02-42/44 Shaw Towers","1.2965902386051","103.85639393950001","121647911228438"
"73","Tiong Bahru Bakery","/explore/locations/19328331/tiong-bahru-bakery/","singapore","19328331","unknown","0.0","0.0","0"
"74","CelebFest","/explore/locations/1533723480265052/celebfest/","singapore","1533723480265052","1 Raffles Boulevard, Suntec City","1.29349","103.85722","1533723480265052"
"75","Drama Centre Theatre","/explore/locations/213088374/drama-centre-theatre/","singapore","213088374","Drama Centre Theatre, Level 3 National Library Building, 100 Victoria Street, Singapore 188064","1.2979156875647","103.85430263454","123595154439489"
"76","Sentosa Singapore","/explore/locations/219174548697103/sentosa-singapore/","singapore","219174548697103","","1.29306","103.856","219174548697103"
"77","Cloud Forest, Garden by the Bay, Singapore","/explore/locations/1609640519181436/cloud-forest-garden-by-the-bay-singapore/","singapore","1609640519181436","","1.29306","103.85600000000001","1609640519181436"
"78","Savéur","/explore/locations/11428362/saveur/","singapore","11428362","unknown","0.0","0.0","0"
"79","Gardens by the Bay - Bay East","/explore/locations/5385155/gardens-by-the-bay-bay-east/","singapore","5385155","","1.292595076698","103.86785829448999","137775416293792"
"80","Melt Café at Mandarin Oriental, Singapore","/explore/locations/389045/melt-cafe-at-mandarin-oriental-singapore/","singapore","389045","5 Raffles Avenue, Marina Square","1.2905380485817","103.85786386091","173399486010244"
"81","Singapore Coffee Festival","/explore/locations/1029992736/singapore-coffee-festival/","singapore","1029992736","Marina Bay Cruise Centre","1.29197","103.86381","1640301902924328"
"82","Angelina Singapore","/explore/locations/716032916/angelina-singapore/","singapore","716032916","MBS The Shoppes, Canal Level B2-89A","1.2931726235547","103.85155507514999","1000631919963508"
"83","City Harvest Church","/explore/locations/634223/city-harvest-church/","singapore","634223","1 Raffles Boulevard, Suntec City Singapore","1.2930895608478998","103.85800375519001","186875251352498"
"84","Food For Thought @ 8Q SAM","/explore/locations/287098/food-for-thought-8q-sam/","singapore","287098","unknown","0.0","0.0","0"
"85","@Equinox 70th floor","/explore/locations/228421964/equinox-70th-floor/","singapore","228421964","2 Stamford Rd  178882","1.2932700000000001","103.8533936","224061807608266"
"86","PSB Academy","/explore/locations/32350524/psb-academy/","singapore","32350524","6 Raffles Boulevard, Marina Square, #03-200","1.2911275910442","103.85769724846001","245562153391"
"87","Wah Lok Cantonese Restaurant @ Carlton Hotel","/explore/locations/742013/wah-lok-cantonese-restaurant-carlton-hotel/","singapore","742013","76 Bras Basah Road","1.2959390639033999","103.85224409212","195069730515613"
"88","Drama Centre Theatre","/explore/locations/70065/drama-centre-theatre/","singapore","70065","Drama Centre Theatre, Level 3 National Library Building, 100 Victoria Street, Singapore 188064","1.29785","103.85446","174543672561743"
"89","Millenia Tower","/explore/locations/671005/millenia-tower/","singapore","671005","1 Temasek Avenue","1.292778","103.86027800000001","115907555123052"
"90","Emporium Shokuhin","/explore/locations/1014643182/emporium-shokuhin/","singapore","1014643182","","1.2914493743873998","103.85637760161998","579171408888561"
"91","Garibaldi Italian Restaurant & Bar","/explore/locations/7009129/garibaldi-italian-restaurant-bar/","singapore","7009129","36 Purvis Street","1.29656","103.85495999999999","49824877306"
"92","Mink","/explore/locations/5391986/mink/","singapore","5391986","7 Raffles Boulevard, Marina Square","1.2923983724643","103.85910920401","120201734744498"
"93","Vatos Urban Tacos","/explore/locations/1020292344/vatos-urban-tacos/","singapore","1020292344","36 Beach Road","1.2958685281755","103.85620594024999","787155811406715"
"94","SMU Lee Kong Chian School of Business","/explore/locations/210116/smu-lee-kong-chian-school-of-business/","singapore","210116","50 Stamford Road","1.29519","103.85039","191330057565868"
"95","Salted and Hung","/explore/locations/942650862/salted-and-hung/","singapore","942650862","12 Purvis Street ","1.29657","103.85527990000001","1588268334796239"
"96","Affordable Art Fair, Singapore","/explore/locations/272777994/affordable-art-fair-singapore/","singapore","272777994","1 Republic Boulevard, F1 Pit Building","1.2925050619535001","103.86343811974001","231021508631"
"97","The Cat Museum, Muses & Mansion of Singapore","/explore/locations/513129078/the-cat-museum-muses-mansion-of-singapore/","singapore","513129078","","1.296254667461","103.85491847991999","303535323176024"
"98","F1 Pit Building","/explore/locations/1022279060/f1-pit-building/","singapore","1022279060","","1.290959436391","103.86326158228","1646463958926357"
"99","Mad for Garlic","/explore/locations/111964628/mad-for-garlic/","singapore","111964628","3 Temasek Boulevard, #02-300/301 Suntec City Mall","1.2940227782815001","103.85628218039","100647693345633"

