,area_list
117,/explore/locations/c2160933/peoples-garden-singapore/
118,/explore/locations/c2161037/tiong-guan-estate-singapore/
119,/explore/locations/c2160901/maryland-estate-singapore/
120,/explore/locations/c2160910/mount-pleasant-singapore/
121,/explore/locations/c2160642/bajau-estate-singapore/
122,/explore/locations/c2160918/ng-kay-boon-estate-singapore/
123,/explore/locations/c2161019/teck-chong-estate-singapore/
124,/explore/locations/c2160631/aik-hong-and-aik-chiang-estate-singapore/
125,/explore/locations/c2161034/tian-guan-estate-singapore/
126,/explore/locations/c2890781/central-catchment-area-singapore-singapore/
127,/explore/locations/c2160836/kampong-sudong-singapore/
128,/explore/locations/c2161032/thong-hoe-singapore/
129,/explore/locations/c2160818/kampong-pulau-ubin-singapore/
130,/explore/locations/c2160876/kian-hong-estate-singapore/
131,/explore/locations/c2160659/bright-hill-crescent-singapore/
132,/explore/locations/c2160895/lucky-park-singapore/
133,/explore/locations/c2160709/ewart-park-singapore/
134,/explore/locations/c2160652/bena-park-singapore/
135,/explore/locations/c2160721/hai-sing-park-singapore/
136,/explore/locations/c2160648/bedok-garden-singapore/
137,/explore/locations/c2160812/kampong-perigi-piau-singapore/
138,/explore/locations/c2160879/kim-chuan-singapore/
139,/explore/locations/c2160944/punggol-estate-singapore/
140,/explore/locations/c2160822/kampong-saigon-singapore/
141,/explore/locations/c2160733/hong-kah-village-singapore/
142,/explore/locations/c2161021/teck-hock-village-singapore/
143,/explore/locations/c2160768/kampong-bereh-singapore/
144,/explore/locations/c2160634/ama-keng-singapore/
145,/explore/locations/c2160884/lam-kiong-estate-singapore/
146,/explore/locations/c2161015/tan-hua-gek-estate-singapore/
147,/explore/locations/c2160852/kampong-telok-singapore/
148,/explore/locations/c2160805/kampong-pahang-singapore/
149,/explore/locations/c2160687/chia-tong-quah-estate-singapore/
150,/explore/locations/c2160963/sam-hin-estate-singapore/
151,/explore/locations/c2160764/kampong-bahru-singapore/
152,/explore/locations/c2160838/kampong-sungai-belang-singapore/
153,/explore/locations/c2160877/kian-teck-san-estate-singapore/
154,/explore/locations/c2160807/kampong-pasir-merah-singapore/
