WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
1,690186438,Location,Raffles City,0.978348,1,0.491807,0.962163,positive,0.172659,0.512932,0.046238,0.036906,0.042768,,,,
1,680032150,Facility,Raffles City Shopping Centre,0.951589,1,0.24169,0.743057,positive,0.116753,0.702398,0.093138,0.027707,0.02978,,,,
1,680032150,Facility,MTR Station,0.888924,1,0.265849,0.361593,positive,0.205946,0.216885,0.060829,0.089994,0.123431,,,,
1,680032150,Person,Poulet,0.529415,1,0.196387,-0.976998,negative,0.723943,0.023804,0.173977,0.185464,0.090478,,,,
1,680032150,Facility,Raffles Hotel,0.526013,1,0.883918,0.397292,positive,0.409291,0.210716,0.235809,0.302981,0.065034,,"['Location', 'Accommodation', 'Building']",Raffles_Hotel,http://dbpedia.org/resource/Raffles_Hotel
1,680032150,Facility,War Memorial,0.430761,1,0.92249,0.397292,positive,0.409291,0.210716,0.235809,0.302981,0.065034,,,,
1,680032150,Location,Singapore,0.401226,1,0.998728,0.743057,positive,0.116753,0.702398,0.093138,0.027707,0.02978,,,Singapore,http://dbpedia.org/resource/Singapore
1,680032150,Facility,Balmoral Park,0.320931,2,0.986795,0.650109,positive,0.084085,0.213673,0.241622,0.038564,0.186199,,,,
1,680032150,Company,Starbucks,0.306999,1,0.969675,0.0,neutral,0.115299,0.50752,0.014491,0.011225,0.026053,,,Starbucks,http://dbpedia.org/resource/Starbucks
1,680032150,Location,Raffles,0.105761,1,0.660952,0.650109,positive,0.084085,0.213673,0.241622,0.038564,0.186199,,,,
1,675174097,Company,Lowe,0.978348,1,0.889025,0.778089,positive,0.384258,0.242563,0.083549,0.144686,0.19723,,,Lowe_%28band%29,http://dbpedia.org/resource/Lowe_%28band%29
1,635253647,Quantity,1 minute,0.963296,1,0.8,0.563632,positive,0.072065,0.439698,0.111053,0.313657,0.163109,,,,
1,635253647,Facility,Carlton hotel,0.642601,1,0.885604,0.563632,positive,0.072065,0.439698,0.111053,0.313657,0.163109,,,,
1,626321149,Location,Raffles City,0.963296,2,0.910485,0.486289,positive,0.245859,0.276299,0.133397,0.075747,0.238686,,,,
1,626321149,Facility,Fairmont Hotel,0.926467,1,0.956587,0.0,neutral,0.058138,0.546354,0.088346,0.0649,0.141737,,,The_Roosevelt_New_Orleans_Hotel,http://dbpedia.org/resource/The_Roosevelt_New_Orleans_Hotel
1,626321149,Company,Raffles City,0.885554,1,0.351561,0.52921,positive,0.172651,0.572772,0.10956,0.173479,0.01219,,,,
1,626321149,Facility,Robinsons,0.503121,1,0.199582,0.0,neutral,0.190958,0.220919,0.190776,0.120908,0.078529,,,,
1,622282447,Facility,Fairmont Hotel,0.963296,1,0.940831,0.838244,positive,0.059685,0.322349,0.125918,0.336193,0.186144,,,The_Roosevelt_New_Orleans_Hotel,http://dbpedia.org/resource/The_Roosevelt_New_Orleans_Hotel
1,622282447,Location,Raffles City,0.897155,1,0.441624,0.838244,positive,0.059685,0.322349,0.125918,0.336193,0.186144,,,,
1,614965366,Organization,Raffles city,0.958279,1,0.142729,0,neutral,0.164712,0.459487,0.143493,0.013251,0.108143,,,,
1,614965366,Facility,Swissotel,0.419761,1,0.884223,0,neutral,0.021138,0.543219,0.200877,0.059066,0.094567,,,,
1,614965366,Location,Stamford,0.288957,1,0.753254,0,neutral,0.021138,0.543219,0.200877,0.059066,0.094567,,,,
1,584162738,Location,Singapore,0.978348,1,0.996911,0.90129,positive,0.154808,0.660005,0.078772,0.131729,0.027699,,,Singapore,http://dbpedia.org/resource/Singapore
1,550072327,Location,Stamford,0.95577,1,0.801301,0.950295,positive,0.12715,0.649857,0.022723,0.136787,0.020959,,,,
1,550072327,Company,Waitrose,0.845388,1,0.644291,0.827215,positive,0.390305,0.242658,0.053875,0.014464,0.039686,,,Waitrose,http://dbpedia.org/resource/Waitrose
1,550072327,Location,Singapore,0.354228,1,0.996175,0.70292,positive,0.535601,0.131432,0.167742,0.180471,0.18847,,,Singapore,http://dbpedia.org/resource/Singapore
1,550072327,Facility,City Hall,0.026567,1,0.733894,0.0,neutral,0.433368,0.255818,0.070166,0.06438,0.093929,,,,
1,520482675,Location,Singapore,0.978348,1,0.979125,0.986213,positive,0.185427,0.415553,0.039852,0.097957,0.017848,,,Singapore,http://dbpedia.org/resource/Singapore
1,509682864,Company,Swissotel Stamford & Fairmont,0.958279,1,0.218327,0.692152,positive,0.042759,0.581844,0.040971,0.088011,0.016072,,,,
1,509682864,Location,Singapore,0.702803,2,0.995565,0.692152,positive,0.047104,0.447101,0.027884,0.140957,0.028185,,,Singapore,http://dbpedia.org/resource/Singapore
1,509682864,Facility,MRT station,0.671574,1,0.378941,0.0,neutral,0.094963,0.233199,0.032091,0.161062,0.053625,,,,
1,479966548,Facility,Robinsons,0.954265,1,0.442253,0.641023,positive,0.018303,0.613806,0.012909,0.003281,0.013912,,,,
1,479966548,Location,Singapore,0.699938,1,0.993279,0.641023,positive,0.018303,0.613806,0.012909,0.003281,0.013912,,,Singapore,http://dbpedia.org/resource/Singapore
1,479966548,Facility,Suntec City,0.537807,1,0.548044,0.623611,positive,0.063701,0.768768,0.033376,0.030045,0.021847,,"['Location', 'ShoppingCenter', 'Building']",Suntec_City,http://dbpedia.org/resource/Suntec_City
1,479966548,Facility,Raffles Hotel,0.400893,1,0.683747,0.623611,positive,0.063701,0.768768,0.033376,0.030045,0.021847,,"['Location', 'Accommodation', 'Building']",Raffles_Hotel,http://dbpedia.org/resource/Raffles_Hotel
1,479966548,GeographicFeature,South Beach,0.243756,1,0.471335,0.623611,positive,0.063701,0.768768,0.033376,0.030045,0.021847,,,,
1,468520707,Facility,Raffles City shopping mall,0.963296,1,0.30912,0.0,neutral,0.278671,0.49751,0.130636,0.032833,0.012275,,,,
1,468520707,Facility,Swissotel,0.193392,1,0.944773,0.874381,positive,0.226518,0.242159,0.063555,0.14286,0.057374,,,,
1,439887385,Company,Kate Spade and Channel,0.95577,1,0.332751,-0.680221,negative,0.274012,0.094889,0.027792,0.098163,0.077957,,,,
1,439887385,Quantity,"2""",0.680922,1,0.8,0.0,neutral,0.222093,0.066615,0.015395,0.475458,0.045515,,,,
1,439887385,Location,Singapore,0.327224,1,0.99816,0.0,neutral,0.195708,0.112567,0.10299,0.197013,0.08922,,,Singapore,http://dbpedia.org/resource/Singapore
