REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,401,玖玖蓝天儿,4.0,2019-06-09,Not Available,海军开放日的时候看着还是很壮观的！！！！！！！配上蓝天白云的时候看更不错，还能在军舰里面参观，了解的更细致！！！！！！！！,2020-02-16 18:57:19.894571
,2,401,coldwar,4.0,2017-10-23,Not Available,海军博物馆出售军队剩余装备的有趣商店，博物馆位于限制区，所以你需要在海军基地门房办理手续，需要出示护照，然后你会被护送到博物馆门口，有一辆公共汽车把你从博物馆直接带到塔纳&#183;麦拉捷运。,2020-02-16 18:57:19.900680
,2,401,Todemmy,5.0,2019-05-12,Not Available,海军博物馆这里对于军事迷特别是海军迷来说真是太棒了，展品多，介绍很详细，非常棒的体验，可以学到特别多军事知识，开阔了眼界！！,2020-02-16 18:57:19.907075
,2,401,M15****577,5.0,2018-06-13,Not Available,一次对海洋世界的探索旅程，很不错,2020-02-16 18:57:19.913445
,2,401,hy8118,4.0,2019-02-27,Not Available,博物馆里趣味十足，可看，性价比好,2020-02-16 18:57:19.919732
,2,401,爱爱李,5.0,2016-01-19,Not Available,海军博物馆是这里的一个非常不错的地方，这里的海军项目非常的丰富哦，好多海军的用品都是可以看得到的，一些海军生活的方式和当地的发展资料都比较写实。,2020-02-16 18:57:19.926109
,2,401,cd****ei,4.0,2015-08-30,Not Available,海军博物馆的展示详细记载了新加坡海军如何从19世纪时的马来亚皇家志愿军发展成为今天的新加坡海军，能够看到古董航海器具、历史照片和一些先进的资料。,2020-02-16 18:57:19.932424
,2,401,乐乐张姐,5.0,2015-09-16,Not Available,这里能看到不少那个时期的航海器具和相关海事周边的图文资料，挺长见识的,2020-02-16 18:57:19.938568
,2,401,游在这方天地,5.0,2015-10-09,Not Available,这里展示了古董航海器具，和现代海军航海资料，喜爱航海的很值得来看。,2020-02-16 18:57:19.944204
,2,401,M48****310,4.0,2018-10-09,Not Available,这里的博物馆里面都是关于海军的各色各样的东东。,2020-02-16 18:57:19.950023
,2,401,qingqing11,5.0,2018-10-01,Not Available,這裏彰顯著豐富的海軍文化底蘊，有各式海軍風格的裝備！,2020-02-16 18:57:24.082838
,2,401,tai****000,5.0,2016-10-18,Not Available,新加坡的海军博物馆是一个很好的博物馆，它就在新加坡的本岛北端，这里拥有很多的关于新加坡海军发展的展品，航海器具、文件资料都展示了新加坡海军这两百多年的发展历程。,2020-02-16 18:57:24.087270
