,WEBSITE_INDEX,POI_NAME,ENGLISH_NAME,URL
55,4,双螺旋桥  ,None,https://place.qyer.com/poi/V2UJYVFnBzZTYlI4Cmk/
56,4,新加坡亲子游  ,None,https://place.qyer.com/poi/V2UJYlFiBzVTYFI7Cm4/
57,4,武吉知马自然保护区  ,Bukit Timah Nature Reserve,https://place.qyer.com/poi/V2EJZFFlBzJTYg/
58,4,阵亡纪念碑  ,Cenotaph,https://place.qyer.com/poi/V2UJY1FkBz9TZ1I4/
59,4,新加坡国大博物馆  ,NUS Museum,https://place.qyer.com/poi/V2EJY1FgBzZTZQ/
60,4,小印度  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYFI3Cms/
61,4,新加坡红点设计博物馆  ,Red Dot Design Museum,https://place.qyer.com/poi/V2UJY1FkBzNTY1I8/
62,4,新加坡国家美术馆  ,National Gallery Singapore,https://place.qyer.com/poi/V2UJYlFiBzFTbVI2Cm0/
63,4,新加坡海豚乐园  ,Dolphin Lagoon,https://place.qyer.com/poi/V2EJa1FiBzZTYQ/
64,4,新加坡圣淘沙名胜世界  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYVI4Cmg/
65,4,云雾森林玻璃屋  ,Cloud Forest,https://place.qyer.com/poi/V2YJZVFuBzZTYFI8/
66,4,维拉玛卡里雅曼兴都庙  ,Sri Veeramakaliamman Temple,https://place.qyer.com/poi/V2AJZVFgBzNTZQ/
67,4,Formula1SingaporeGrandPrix新加坡站(F1新加坡大奖赛)  ,Formula 1 Singapore Grand Prix,https://place.qyer.com/poi/V2MJYFFvBzdTYw/
68,4,新加坡南部山脊  ,The Southern Ridges,https://place.qyer.com/poi/V2UJY1FlBzZTZVI8/
69,4,新加坡国家兰花园  ,National Orchid Garden,https://place.qyer.com/poi/V2UJYlFiBzVTZVI3Cm0/
70,4,新加坡水上探险乐园  ,Adventure Cove Waterpark,https://place.qyer.com/poi/V2EJa1FnBzRTZFI6/
71,4,观音堂佛祖庙  ,Kwan Im Thong Hood Cho Temple,https://place.qyer.com/poi/V2AJZ1FgBzZTYA/
72,4,天福宫  ,Thian Hock Keng Temple,https://place.qyer.com/poi/V2EJZVFnBz9TYA/
73,4,亨德申波浪桥  ,Henderson Waves,https://place.qyer.com/poi/V2UJYVFmBzBTY1I6/
74,4,乌节路图书馆  ,library@orchard,https://place.qyer.com/poi/V2YJY1FnBzVTZVI9/
75,4,尼维沙伯鲁玛兴都庙  ,Sri Srinivasa Perumal Temple,https://place.qyer.com/poi/V2AJZVFhBzNTYA/
