POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
63,not available,183,63,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-02-13 01:33:51.741901
64,PunggolBeach,72,64,4.3,22PunggolRoad-Track19,全天开放,2020-02-13 01:35:08.924314
65,MacRitchieReservoir,62,65,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-02-13 01:35:53.357648
66,DempseyHill,69,66,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-02-13 01:36:40.265066
67,PasirRisPark,78,67,4.4,"PasirRisCentral,Singapore510534",全天开放。,2020-02-13 01:37:17.617050
68,PeranakanMuseum,77,68,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-02-13 01:37:57.892018
69,not available,0,69,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-02-13 01:38:44.965378
70,HendersonWaves,55,70,4.5,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-02-13 01:39:22.527733
71,MacRitchieNatureTrail,41,71,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-02-13 01:39:59.079987
72,SingaporeCityGallery,54,72,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-02-13 01:40:33.072226
73,CivilDefenceHeritageGallery,67,73,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-02-13 01:41:15.667020
74,not available,1077,74,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-02-13 01:41:55.977695
75,EmeraldHill,67,75,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-02-13 01:47:32.191040
76,not available,0,76,4.6,Suntec City Unit #01-330,,2020-02-13 01:48:14.571612
77,STPICreativeWorkshopGallery,34,77,4.4,41RobertsonQuay，Singapore238236,"周一-周五10:00-19:00;周六9:00-18:00,周日及节假日关闭。",2020-02-13 01:48:31.093755
78,SentosaBeach,311,78,4.5,"SantosaIsland,Singapore",11:00-21:00,2020-02-13 01:49:06.739155
79,not available,285,79,4.5,"48 Pagoda Street, Singapore 059207, Singapore",9:00-20:00（周一至周日），最后入场时间为19:00。每个月的第一个周一闭馆。,2020-02-13 01:51:17.230626
80,not available,654,80,4.7,15 Science Centre Road Singapore 609081,全年  10:00-18:00；科学馆：每天: 10:00am-6:00pm (最晩入场时间 5:15pm)；  萬像电影馆：星期一至五: 12:00pm-6:00pm (最晩一场表演 5:00pm) 周末，学校假期和假日 12:00pm-7:00pm (最晩一场表演时间6:00pm) 2019年闭馆日期：1月7/14/21日；2月4/18/25日。。,2020-02-13 01:53:14.405318
81,SentosaMerlion,473,81,4.5,"30ImbiahRd,Singapore099701",10:00-20:00（周一-周日）（最后入场时间晚上19:30）,2020-02-13 01:56:55.064476
82,EntertainmentDeckofChangiAirport,162,82,4.8,新加坡樟宜机场T2三层离境过境区域（靠近向日葵花园）,全天开放。娱乐区内各设施开放时间不同，详情请参考樟宜机场官网。,2020-02-13 01:59:53.354201
83,not available,202,83,4.5,8 Sentosa Gateway， Resorts World Sentosa,全年  10:00-19:00；1、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-02-13 02:01:09.410533
84,,9,84,4.4,"Blk333,KretaAyerRoad,#03-23",,2020-02-13 02:02:23.197140
85,,6,85,4.2,"Blk333,KretaAyerRoad,#03-23",,2020-02-13 02:02:37.396772
86,,2,86,5,SMUSchoolofInformationSystems-BigSteps,,2020-02-13 02:02:52.970559
87,SkatePark,3,87,4.3,"31ExeterRd,Singapore239732",,2020-02-13 02:03:08.514297
88,SingaporeTurfClub,2,88,4.5,"1TurfClubAvenue,SingaporeRacecourse,Singapore738078​",,2020-02-13 02:03:23.598807
89,,2,89,3.5,"Singapore,130EMindenRd,Singapore248819",,2020-02-13 02:03:39.426506
90,FestiveWalk,147,90,4.5,"FestiveWalk,Singapore",全天开放,2020-02-13 02:03:53.772974
91,not available,177,91,4.7,40 Imbiah Road， Sentosa， Singapore 099700,周一至周五：10:00-20:30  最后入馆时间为19:00。特殊日期开放时间：11月9日开放时间为16:15-19:00。以上时间仅供参考，具体以景区当天的安排为准。,2020-02-13 02:04:55.449314
92,Imbiah,120,92,4.4,"Imbiah,（圣淘沙境内）",全天开放,2020-02-13 02:06:04.787324
93,TanjongBeach,133,93,4.5,120TanjongBeachWalk,全天开放。,2020-02-13 02:06:59.677492
94,RafflesPlace,99,94,4.5,"RafflesPlace,Singapore",全天开放,2020-02-13 02:08:16.714808
95,BoatQuay,127,95,4.4,"BonhamSt,Singapore049782",全天开放,2020-02-13 02:09:11.014595
96,,1,96,3,HougangAve7,,2020-02-13 02:10:04.146681
97,FountainofWealth,115,97,4.3,3TemasekBlvd,10:00-12:00;14:00-16:00;18:00-19:30,2020-02-13 02:18:02.432932
