POI_INDEX,TOTAL_REVIEWS,RANKING,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
1,58499,3,4.652011145489666,41936,13517,2477,390,179,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive, Bayfront Plaza, Singapore 018953, Singapore",2020-01-16 18:34:54.122580
2,16696,9,4.357450886439866,9403,4794,1809,444,246,Observation Deck Soar 57 levels above the heart of the city as you capture the moment of a lifetime at the stunning Sands Skypark public observation deck.,"10 Bayfront Avenue, Level 57, Marina Bay Sands Hotel, Singapore 018956, Singapore",2020-01-16 18:35:18.530887
