,Unnamed: 0,POI,link,num_reviews
87,87,杰尼亚（新加坡ION Orchard购物中心店）,https://you.ctrip.com/shopping/singapore53/1361061.html,26
88,88,狮城大厦,https://you.ctrip.com/shopping/singapore53/108110.html,28
89,89,诗家董百货公司,https://you.ctrip.com/shopping/singapore53/132428.html,29
90,90,文华购物廊,https://you.ctrip.com/shopping/singapore53/108116.html,12
95,95,Pandora（樟宜机场T2离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413450.html,5
96,96,莱佛士酒店名店廊,https://you.ctrip.com/shopping/singapore53/1379841.html,7
97,97,Jurong Point Shopping Mall,https://you.ctrip.com/shopping/singapore53/1375560.html,4
98,98,Pandora（樟宜机场T3离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413452.html,5
99,99,City Square Mall,https://you.ctrip.com/shopping/singapore53/108083.html,19
100,100,新罗免税店（樟宜机场T3离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413464.html,6
101,101,罗敏申百货公司,https://you.ctrip.com/shopping/singapore53/108101.html,13
102,102,伊势丹购物中心,https://you.ctrip.com/shopping/singapore53/108131.html,11
103,103,希尔顿购物廊,https://you.ctrip.com/shopping/singapore53/108122.html,5
104,104,Robinsons（莱佛士城购物中心店）,https://you.ctrip.com/shopping/singapore53/1375490.html,11
105,105,珑骧（樟宜机场二号候机大厅过境F区）,https://you.ctrip.com/shopping/singapore53/1413405.html,2
106,106,登普西山,https://you.ctrip.com/shopping/singapore53/1362686.html,9
107,107,Pandora（樟宜机场T1离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413449.html,4
108,108,新罗免税店（樟宜机场T1离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413462.html,6
109,109,史密斯街,https://you.ctrip.com/shopping/singapore53/108111.html,14
114,114,公园广场,https://you.ctrip.com/shopping/singapore53/108090.html,9
115,115,东陵坊,https://you.ctrip.com/shopping/singapore53/133044.html,7
116,116,The Star Vista,https://you.ctrip.com/shopping/singapore53/1375538.html,3
117,117,Sim Lim Square,https://you.ctrip.com/shopping/singapore53/108107.html,10
118,118,如切购物商场,https://you.ctrip.com/shopping/singapore53/137353.html,13
119,119,杰尼亚（新加坡百丽宫购物中心店）,https://you.ctrip.com/shopping/singapore53/1361056.html,11
120,120,远东购物中心,https://you.ctrip.com/shopping/singapore53/108134.html,11
121,121,乌节达尔菲大厦,https://you.ctrip.com/shopping/singapore53/1355928.html,4
122,122,Bath  &  BodyWorks（名胜世界荟萃廊免税店）,https://you.ctrip.com/shopping/sentosa776/1453966.html,31
123,123,思琦莹（VIVO City）,https://you.ctrip.com/shopping/singapore53/2915232.html,1
124,124,先得坊购物中心,https://you.ctrip.com/shopping/singapore53/108124.html,9
125,125,世界城,https://you.ctrip.com/shopping/singapore53/1356048.html,9
126,126,TUMI（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413529.html,5
127,127,美年径,https://you.ctrip.com/shopping/singapore53/108102.html,5
128,128,Victoria's Secret（金沙购物中心）,https://you.ctrip.com/shopping/singapore53/1454248.html,8
133,133,骑士长廊购物中心,https://you.ctrip.com/shopping/singapore53/1355965.html,4
134,134,文艺复兴广场,https://you.ctrip.com/shopping/singapore53/108117.html,5
135,135,乌节中豪坊,https://you.ctrip.com/shopping/singapore53/108119.html,5
136,136,黄金地带,https://you.ctrip.com/shopping/singapore53/108094.html,12
137,137,哈罗德百货（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413559.html,3
138,138,都德阁,https://you.ctrip.com/shopping/singapore53/108085.html,3
139,139,TUMI（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413527.html,2
140,140,Marina Bay Link Mall,https://you.ctrip.com/shopping/singapore53/1455211.html,8
141,141,喜阁购物中心,https://you.ctrip.com/shopping/singapore53/108123.html,4
142,142,东陵购物中心,https://you.ctrip.com/shopping/singapore53/108084.html,6
143,143,中区购物中心,https://you.ctrip.com/shopping/singapore53/1363949.html,3
144,144,TUMI（金沙购物中心）,https://you.ctrip.com/shopping/singapore53/1453980.html,5
145,145,麒麟大厦,https://you.ctrip.com/shopping/singapore53/108106.html,4
146,146,Bugis+,https://you.ctrip.com/shopping/singapore53/1454914.html,4
147,147,雅柏商业中心,https://you.ctrip.com/shopping/singapore53/108129.html,8
152,152,Bengawan Solo（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413611.html,7
153,153,纪伊国屋书店(Orchard Rd),https://you.ctrip.com/shopping/singapore53/1356029.html,23
154,154,樟宜机场The Fashion Gallery免税店（一号候机大厅过境中区）,https://you.ctrip.com/shopping/singapore53/70119949.html,3
155,155,Satay street,https://you.ctrip.com/shopping/singapore53/1454916.html,5
156,156,探索新加坡（樟宜机场T1离境转机大厅西）,https://you.ctrip.com/shopping/singapore53/1413554.html,9
157,157,好运商业中心,https://you.ctrip.com/shopping/singapore53/108092.html,8
158,158,兰芝（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413471.html,16
159,159,TUMI（OneRafflesPlace）,https://you.ctrip.com/shopping/singapore53/1453991.html,8
160,160,Bengawan Solo（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413612.html,12
161,161,RIMOWA（文华购物廊店）,https://you.ctrip.com/shopping/singapore53/1452308.html,3
162,162,迈克高仕（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413408.html,3
163,163,Westgate Mall,https://you.ctrip.com/shopping/singapore53/1578957.html,6
164,164,中国广场中心跳蚤市场,https://you.ctrip.com/shopping/singapore53/1355999.html,23
165,165,新加坡新罗免税店（T1 入境大厅D登机门）,https://you.ctrip.com/shopping/singapore53/1450944.html,10
166,166,探索新加坡（樟宜机场T3离境转机大厅南）,https://you.ctrip.com/shopping/singapore53/1413557.html,17
171,171,圣淘沙缆车,https://you.ctrip.com/shopping/singapore53/70271014.html,4
172,172,TOPSHOP（Vivo City Mall）,https://you.ctrip.com/shopping/singapore53/1364044.html,10
173,173,Ntuc Fairprice,https://you.ctrip.com/shopping/singapore53/1364013.html,6
174,174,施华洛世奇（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413565.html,6
175,175,迈克·科尔斯（新加坡海湾大道店）,https://you.ctrip.com/shopping/singapore53/1448513.html,5
176,176,Cheers（樟宜机场T2离境登机大厅）,https://you.ctrip.com/shopping/singapore53/1413372.html,12
177,177,RIMOWA（滨海湾金沙店）,https://you.ctrip.com/shopping/singapore53/1452313.html,8
178,178,Fairprice Finest（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413376.html,9
179,179,TOPSHOP（Raffles City）,https://you.ctrip.com/shopping/singapore53/1364052.html,7
180,180,TOD'S(Orchard Road),https://you.ctrip.com/shopping/singapore53/1363947.html,6
181,181,Capitol Piazza,https://you.ctrip.com/shopping/singapore53/1452670.html,7
182,182,Coach（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413392.html,14
183,183,M&M's World（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413604.html,14
184,184,Alfred Dunhill（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413379.html,5
185,185,探索新加坡（樟宜机场T2离境转机大厅北）,https://you.ctrip.com/shopping/singapore53/1413555.html,4
190,190,施华洛世奇（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413564.html,8
191,191,NTUC Fairprice（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413377.html,8
192,192,雪花秀（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413472.html,10
193,193,杰尼亚（新加坡樟宜机场3号航站楼店）,https://you.ctrip.com/shopping/singapore53/1452901.html,3
194,194,普拉达（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413415.html,6
195,195,DFS烟酒免税店（樟宜机场T1离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413590.html,6
196,196,博柏利（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413387.html,6
197,197,悦诗风吟（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413469.html,6
198,198,Cheers（樟宜机场T3入境大厅）,https://you.ctrip.com/shopping/singapore53/1413373.html,12
199,199,大创生活馆（三巴旺购物中心店）,https://you.ctrip.com/shopping/singapore53/1363980.html,15
200,200,唐吉柯德,https://you.ctrip.com/shopping/singapore53/4354747.html,2
201,201,博柏利（博柏利百利宫店）,https://you.ctrip.com/shopping/singapore53/1452710.html,5
202,202,Fashion Avenue（DFS樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413394.html,7
203,203,TWG Tea（樟宜机场T3离境转机大厅北）,https://you.ctrip.com/shopping/singapore53/1413491.html,8
204,204,Paul & Shark（斯科特广场店）,https://you.ctrip.com/shopping/singapore53/1379307.html,7
209,209,美珍香（余东旋街店）,https://you.ctrip.com/shopping/singapore53/1363984.html,7
210,210,新加坡新罗免税店（T2入境大厅E登机门）,https://you.ctrip.com/shopping/singapore53/1450949.html,6
211,211,新加坡新罗免税店（T1 入境大厅C登机门）,https://you.ctrip.com/shopping/singapore53/1450947.html,6
212,212,屈臣氏（樟宜机场T3离境登机大厅）,https://you.ctrip.com/shopping/singapore53/1413486.html,4
213,213,TWG 茶沙龙和精品屋(樟宜机场T2),https://you.ctrip.com/shopping/singapore53/1413490.html,12
214,214,SK-II（新加坡维多利亚街店）,https://you.ctrip.com/shopping/singapore53/1448504.html,4
215,215,万宝龙（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413412.html,4
216,216,爱马仕（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413398.html,4
217,217,文华大酒店购物中心,https://you.ctrip.com/shopping/singapore53/1577783.html,4
218,218,索尼（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413540.html,4
219,219,老巴刹祭亭,https://you.ctrip.com/shopping/singapore53/108099.html,8
220,220,United Square,https://you.ctrip.com/shopping/singapore53/1578958.html,4
221,221,The Chocolatier（樟宜机场二号候机大厅过境E区）,https://you.ctrip.com/shopping/singapore53/1446532.html,2
222,222,施华洛世奇（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413566.html,8
223,223,G2000,https://you.ctrip.com/shopping/singapore53/1364293.html,2
228,228,BV Florist & Gifts,https://you.ctrip.com/shopping/singapore53/1364067.html,2
229,229,浮尔顿一号,https://you.ctrip.com/shopping/singapore53/1486745.html,1
230,230,Ntuc Fairprice,https://you.ctrip.com/shopping/singapore53/1364248.html,2
231,231,新加坡新罗免税店（T2离境大厅E登机门）,https://you.ctrip.com/shopping/singapore53/1450948.html,6
232,232,Kate Spade（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413403.html,8
233,233,新加坡新罗免税店（T2离境大厅F登机门）,https://you.ctrip.com/shopping/singapore53/1450945.html,6
234,234,纪伊国屋书店(River Valley Road),https://you.ctrip.com/shopping/singapore53/1363998.html,3
235,235,永安堂,https://you.ctrip.com/shopping/singapore53/1361221.html,14
236,236,爱马仕（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413400.html,5
237,237,Maison de Chronus（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413583.html,5
238,238,DFS烟酒免税店（樟宜机场T3离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413594.html,5
239,239,Cheers（樟宜机场T3离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413374.html,5
240,240,劳力士（樟宜机场Gassan Watches店）,https://you.ctrip.com/shopping/singapore53/1413587.html,5
241,241,博柏利（ION乌节店）,https://you.ctrip.com/shopping/singapore53/1452736.html,4
242,242,大创生活馆（ION Orchard店）,https://you.ctrip.com/shopping/singapore53/1363973.html,8
247,247,TWG Tea（樟宜机场T3离境转机大厅南）,https://you.ctrip.com/shopping/singapore53/1413492.html,13
248,248,TOPSHOP（Ion Mall）,https://you.ctrip.com/shopping/singapore53/1363929.html,8
249,249,科颜氏（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413470.html,10
250,250,维多利亚的秘密（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413444.html,10
251,251,Bengawan Solo（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413610.html,10
252,252,新加坡新罗免税店（T2入境大厅靠近F登机门）,https://you.ctrip.com/shopping/singapore53/1450951.html,11
253,253,Bally（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413382.html,6
254,254,Whoo（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413458.html,6
255,255,MUJI to GO（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413525.html,6
256,256,比利时珠宝中心,https://you.ctrip.com/shopping/singapore53/137341.html,15
257,257,DFS烟酒免税店（樟宜机场T3抵达行李领取大厅）,https://you.ctrip.com/shopping/singapore53/1413595.html,9
258,258,Cold Storage（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413375.html,7
259,259,Gucci（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413395.html,6
260,260,三巴旺购物中心,https://you.ctrip.com/shopping/singapore53/1364001.html,10
261,261,蒂芙尼（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413455.html,3
266,266,蒂芙尼（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413455.html,3
267,267,SK Jewellery（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413454.html,3
268,268,屈臣氏（樟宜机场T1离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413485.html,3
269,269,Bottega Veneta（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413384.html,3
270,270,Miu Miu（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413409.html,3
271,271,宝格丽（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413389.html,3
272,272,Fair Price,https://you.ctrip.com/shopping/singapore53/1363935.html,3
273,273,La Perla,https://you.ctrip.com/shopping/singapore53/1364024.html,3
274,274,Desigual（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413430.html,3
